freq/Hz	Re(Z)/Ohm	Im(Z)/Ohm	
1,0002229E+004	3,5893098E-002	4,0028747E-002
7,9442559E+003	3,4333654E-002	3,2186415E-002
6,3329541E+003	3,3219319E-002	2,5625097E-002
5,0116035E+003	3,2458697E-002	2,0177009E-002
3,9812742E+003	3,2053851E-002	1,5627936E-002
3,1610112E+003	3,1873312E-002	1,1922826E-002
2,5108032E+003	3,1904235E-002	8,8623893E-003
1,9956389E+003	3,2084934E-002	6,3954615E-003
1,5855076E+003	3,2342721E-002	4,3768277E-003
1,2587914E+003	3,2728247E-002	2,7300206E-003
1,0003201E+003	3,3151068E-002	1,4040858E-003
7,9423773E+002	3,3603940E-002	3,4763143E-004
6,3100964E+002	3,4118403E-002	-5,0913449E-004
5,0144415E+002	3,4657214E-002	-1,1949150E-003
3,9808920E+002	3,5192143E-002	-1,7492326E-003
3,1631586E+002	3,5767060E-002	-2,1783065E-003
2,5104436E+002	3,6335874E-002	-2,5137041E-003
1,9955299E+002	3,6900334E-002	-2,7724260E-003
1,5842838E+002	3,7483562E-002	-2,9671760E-003
1,2584569E+002	3,8053010E-002	-3,0996110E-003
1,0003201E+002	3,8628336E-002	-3,2155579E-003
7,9415527E+001	3,9186146E-002	-3,2421744E-003
6,3082302E+001	3,9711162E-002	-3,2577140E-003
5,0144413E+001	4,0239297E-002	-3,2699322E-003
3,9808922E+001	4,0747866E-002	-3,2585538E-003
3,1629551E+001	4,1227564E-002	-3,2486115E-003
2,5104435E+001	4,1693863E-002	-3,2390517E-003
1,9955299E+001	4,2131588E-002	-3,2498178E-003
1,5857576E+001	4,2614914E-002	-3,2923848E-003
1,2600808E+001	4,3099519E-002	-3,3372638E-003
1,0003201E+001	4,3606035E-002	-3,3917839E-003
7,9395342E+000	4,4153221E-002	-3,4108073E-003
6,3105822E+000	4,4709068E-002	-3,3994361E-003
5,0144415E+000	4,5257229E-002	-3,3615362E-003
3,9778514E+000	4,5821015E-002	-3,2957264E-003
3,1603966E+000	4,6342529E-002	-3,1796151E-003
2,5136740E+000	4,6821903E-002	-3,0486544E-003
1,9970604E+000	4,7251463E-002	-2,9090084E-003
1,5846854E+000	4,7652386E-002	-2,7747927E-003
1,2596743E+000	4,7989096E-002	-2,6704015E-003
1,0000638E+000	4,8300866E-002	-2,5842027E-003
0,0000000E+000	0,0000000E+000	0,0000000E+000
9,9093097E-001	4,8306398E-002	-2,5869105E-003
7,6773763E-001	4,8635628E-002	-2,5207663E-003
5,9455860E-001	4,8959751E-002	-2,5359357E-003
4,6064273E-001	4,9257085E-002	-2,5949734E-003
3,5755146E-001	4,9567383E-002	-2,6840086E-003
2,7721593E-001	4,9899541E-002	-2,8434526E-003
2,1475889E-001	5,0218359E-002	-3,0452562E-003
1,6632958E-001	5,0540347E-002	-3,2922996E-003
1,2914935E-001	5,0882723E-002	-3,5972625E-003
9,9904113E-002	5,1257629E-002	-4,0043960E-003
9,0082549E-002	5,1400028E-002	-4,3019927E-003
7,0493415E-002	5,1745631E-002	-4,7798469E-003
5,5166788E-002	5,2205220E-002	-5,3944928E-003
4,3254748E-002	5,2768514E-002	-6,1739790E-003
3,3906657E-002	5,3300869E-002	-7,1769925E-003
2,6522968E-002	5,3854797E-002	-8,3600301E-003
2,0803820E-002	5,4563988E-002	-9,7186500E-003
1,6306685E-002	5,5471286E-002	-1,1444450E-002
1,2780307E-002	5,6482654E-002	-1,3697029E-002
1,0009173E-002	5,7610493E-002	-1,6401034E-002
